state,time,pressure,
2,25.5,99572.8264,
2,25.55,99611.35888,
2,25.6,99518.7148,
2,25.65,99606.32978,
2,25.7,99507.95198,
2,25.75,99527.83994,
2,25.8,99464.53335,
2,25.85,99567.02341,
2,25.9,99594.29394,
2,25.95,99616.69661,
2,26,99563.24774,
2,26.05,99569.67357,
2,26.1,99529.11789,
2,26.15,99648.28109,
2,26.2,99667.53076,
2,26.25,99592.2893,
2,26.3,99660.16581,
2,26.35,99532.85162,
2,26.4,99528.21119,
2,26.45,99536.90748,
2,26.5,99625.32391,
2,26.55,99629.34542,
2,26.6,99574.05878,
2,26.65,99593.46292,
2,26.7,99587.63298,
2,26.75,99559.11466,
2,26.8,99573.99323,
2,26.85,99590.91015,
2,26.9,99635.54394,
2,26.95,99634.34488,
2,27,99600.90187,
2,27.05,99603.75089,
2,27.1,99653.4174,
2,27.15,99601.44652,
2,27.2,99658.91651,
2,27.25,99705.48903,
2,27.3,99611.21854,
2,27.35,99574.49858,
2,27.4,99603.46613,
2,27.45,99648.5031,
2,27.5,99612.92668,
2,27.55,99705.78828,
2,27.6,99603.67981,
2,27.65,99690.64319,
2,27.7,99721.96053,
2,27.75,99629.20811,
2,27.8,99633.75301,
2,27.85,99651.18312,
2,27.9,99693.72788,
2,27.95,99678.95855,
2,28,99653.2057,
2,28.05,99598.44667,
2,28.1,99695.50142,
2,28.15,99726.51495,
2,28.2,99694.26627,
2,28.25,99702.93936,
2,28.3,99706.87787,
2,28.35,99726.13287,
2,28.4,99737.41065,
2,28.45,99749.06679,
2,28.5,99650.8378,
2,28.55,99812.77652,
2,28.6,99685.73447,
2,28.65,99646.58958,
2,28.7,99631.63685,
2,28.75,99733.58001,
2,28.8,99666.34249,
2,28.85,99714.40912,
2,28.9,99578.38832,
2,28.95,99675.64408,
2,29,99708.86935,
2,29.05,99689.77011,
2,29.1,99736.71845,
2,29.15,99729.99881,
2,29.2,99700.11283,
2,29.25,99688.55241,
2,29.3,99754.75447,
2,29.35,99725.42671,
2,29.4,99731.71846,
2,29.45,99819.44067,
2,29.5,99660.1016,
2,29.55,99712.60638,
2,29.6,99736.39686,
2,29.65,99666.10674,
2,29.7,99686.57738,
2,29.75,99760.16228,
2,29.8,99708.62284,
2,29.85,99662.93539,
2,29.9,99758.0738,
2,29.95,99782.70057,
2,30,99703.85743,
2,30.05,99835.88283,
2,30.1,99832.72011,
2,30.15,99836.89926,
2,30.2,99683.9855,
2,30.25,99770.83961,
2,30.3,99700.01236,
2,30.35,99812.35574,
2,30.4,99714.88769,
2,30.45,99740.62923,
2,30.5,99795.80009,
2,30.55,99720.21045,
2,30.6,99834.78281,
2,30.65,99795.26525,
2,30.7,99758.20934,
2,30.75,99757.8187,
2,30.8,99838.04255,
2,30.85,99845.68014,
2,30.9,99911.91729,
2,30.95,99859.88758,
2,31,99874.32307,
2,31.05,99838.78276,
2,31.1,99728.53892,
2,31.15,99902.78734,
2,31.2,99831.68363,
2,31.25,99833.40408,
2,31.3,99824.30463,
2,31.35,99905.90301,
2,31.4,99822.94243,
2,31.45,99851.24556,
2,31.5,99870.76562,
2,31.55,99806.89998,
2,31.6,99904.07985,
2,31.65,99817.68937,
2,31.7,99820.66268,
2,31.75,99865.3297,
2,31.8,99830.25612,
2,31.85,99862.1054,
2,31.9,99845.53471,
2,31.95,99898.58557,
2,32,99854.32087,
2,32.05,99873.14327,
2,32.1,99963.56061,
2,32.15,99910.13896,
2,32.2,99890.23896,
2,32.25,99934.9637,
2,32.3,99927.7691,
2,32.35,99861.38908,
2,32.4,99859.69893,
2,32.45,99916.77365,
2,32.5,99912.50632,
2,32.55,99935.5738,
2,32.6,99975.42615,
2,32.65,99941.62342,
2,32.7,99959.32894,
2,32.75,100005.8872,
2,32.8,99959.42876,
2,32.85,100014.642,
2,32.9,99884.9802,
2,32.95,99942.47715,
2,33,99905.79774,
2,33.05,99944.49883,
2,33.1,99950.76524,
2,33.15,99925.7821,
2,33.2,99918.50242,
2,33.25,99917.76779,
2,33.3,99987.25167,
2,33.35,99944.55265,
2,33.4,99924.07734,
2,33.45,99950.46587,
2,33.5,99946.81574,
2,33.55,99926.5102,
2,33.6,99966.54528,
2,33.65,99956.1623,
2,33.7,100014.3772,
2,33.75,99933.78564,
2,33.8,99944.3243,
2,33.85,100018.1891,
2,33.9,99930.53738,
2,33.95,99944.42684,
2,34,100003.5333,
2,34.05,99959.03578,
2,34.1,100043.1201,
2,34.15,99929.02198,
2,34.2,100012.9548,
2,34.25,99994.28807,
2,34.3,100061.8678,
2,34.35,100060.0146,
2,34.4,99944.73684,
2,34.45,99929.50587,
2,34.5,100062.0665,
2,34.55,99938.91347,
2,34.6,99984.12496,
2,34.65,100025.1045,
2,34.7,100093.7092,
2,34.75,100017.4631,
2,34.8,100013.1166,
2,34.85,100036.3575,
2,34.9,100148.3322,
2,34.95,99899.608,
2,35,99963.95811,
2,35.05,100051.1703,
2,35.1,99965.9059,
2,35.15,99916.83304,
2,35.2,100028.3013,
2,35.25,100039.2321,
2,35.3,99985.86549,
2,35.35,99997.14538,
2,35.4,100044.7954,
2,35.45,100100.656,
2,35.5,99894.7549,
2,35.55,100132.5185,
2,35.6,100048.1889,
2,35.65,100004.447,
2,35.7,99984.25366,
2,35.75,100052.6486,
2,35.8,100135.5506,
2,35.85,100028.3936,
2,35.9,100063.6787,
2,35.95,100129.0124,
2,36,100017.2796,
2,36.05,100054.2439,
2,36.1,100100.1638,
2,36.15,100058.5113,
2,36.2,100107.7824,
2,36.25,100104.2254,
2,36.3,100067.9854,
2,36.35,100122.591,
2,36.4,100042.4893,
2,36.45,100140.1962,
2,36.5,100075.4113,
2,36.55,100083.493,
2,36.6,100162.1233,
2,36.65,100093.6205,
2,36.7,100119.6323,
2,36.75,100084.7166,
2,36.8,100173.3963,
2,36.85,100114.6845,
2,36.9,100083.7387,
2,36.95,100040.6777,
2,37,100002.5525,
2,37.05,100160.2393,
2,37.1,100112.3002,
2,37.15,100118.3553,
2,37.2,100096.7634,
2,37.25,100102.1359,
2,37.3,100140.9502,
2,37.35,100157.124,
2,37.4,100188.1569,
2,37.45,100183.8402,
2,37.5,100132.6179,
2,37.55,100164.5815,
2,37.6,100192.6014,
2,37.65,100248.8736,
2,37.7,100222.8299,
2,37.75,100137.833,
2,37.8,100089.0108,
2,37.85,100090.4898,
2,37.9,100202.3803,
2,37.95,100170.978,
2,38,100173.2447,
2,38.05,100136.8962,
2,38.1,100134.4302,
2,38.15,100195.0166,
2,38.2,100249.2874,
2,38.25,100122.4095,
2,38.3,100174.4518,
2,38.35,100164.041,
2,38.4,100202.8321,
2,38.45,100220.2606,
2,38.5,100174.0449,
2,38.55,100200.3204,
2,38.6,100240.4543,
2,38.65,100163.0274,
2,38.7,100202.875,
2,38.75,100222.1651,
2,38.8,100163.2537,
2,38.85,100154.4766,
2,38.9,100208.9304,
2,38.95,100222.3563,
2,39,100177.5955,
2,39.05,100221.0225,
2,39.1,100144.5699,
2,39.15,100229.7369,
2,39.2,100233.1562,
2,39.25,100283.3592,
2,39.3,100293.698,
2,39.35,100323.4588,
2,39.4,100266.7724,
2,39.45,100260.732,
2,39.5,100262.4344,
2,39.55,100300.4968,
2,39.6,100213.0848,
2,39.65,100234.2254,
2,39.7,100147.2778,
2,39.75,100268.957,
2,39.8,100273.8995,
2,39.85,100240.4279,
2,39.9,100277.1223,
2,39.95,100312.0926,
2,40,100252.2241,
2,40.05,100360.5696,
2,40.1,100264.8856,
2,40.15,100267.6803,
2,40.2,100237.6931,
2,40.25,100337.427,
2,40.3,100161.25,
2,40.35,100339.6239,
2,40.4,100321.856,
2,40.45,100356.862,
2,40.5,100262.8926,
2,40.55,100281.6439,
2,40.6,100378.476,
2,40.65,100354.3146,
2,40.7,100288.9354,
2,40.75,100360.9106,
2,40.8,100390.7916,
2,40.85,100280.8097,
2,40.9,100220.2934,
2,40.95,100280.2359,
2,41,100352.892,
2,41.05,100216.8759,
2,41.1,100323.7703,
2,41.15,100238.1679,
2,41.2,100335.6132,
2,41.25,100299.6992,
